load,parallelization_strategy,frequency,request_type,energy
2.0,TP4,1980,SS,165.5964694835681
2.5,TP4,1980,SS,171.93718226600984
3.0,TP4,1980,SS,173.89746478873238
3.5,TP4,1980,SS,174.06028301886792
4.0,TP4,1980,SS,177.98109259259257
4.5,TP4,1980,SS,178.49629223744293
5.0,TP4,1980,SS,182.51898181818183
5.5,TP4,1980,SS,183.3492093023256
6.0,TP4,1980,SS,183.58617040358746
6.5,TP4,1980,SS,188.1508520179372
7.0,TP4,1980,SS,188.6057247706422
0.5,TP4,800,SM,88.22507042253521
1.0,TP4,800,SM,90.55424734982331
1.5,TP4,800,SM,92.36043537414966
2.0,TP4,800,SM,93.33678378378377
2.5,TP4,800,SM,91.9213966101695
3.0,TP4,800,SM,92.45114195583596
3.5,TP4,800,SM,92.03801846153846
4.0,TP4,800,SM,92.13588372093022
4.5,TP4,800,SM,92.62426740947076
5.0,TP4,800,SM,93.56215217391305
0.5,TP4,1000,SM,97.00839543726235
1.0,TP4,1000,SM,98.62771102661597
1.5,TP4,1000,SM,99.81934814814815
2.0,TP4,1000,SM,102.01604363636363
2.5,TP4,1000,SM,100.88986764705884
3.0,TP4,1000,SM,101.77128671328671
3.5,TP4,1000,SM,101.51923024054983
4.0,TP4,1000,SM,100.7952655737705
4.5,TP4,1000,SM,101.84179874213837
5.0,TP4,1000,SM,102.51511926605505
0.5,TP4,1200,SM,107.73643200000001
1.0,TP4,1200,SM,109.45991935483872
1.5,TP4,1200,SM,109.60736121673004
2.0,TP4,1200,SM,111.98009125475285
2.5,TP4,1200,SM,113.26205533596837
3.0,TP4,1200,SM,111.90990405904058
3.5,TP4,1200,SM,109.70521611721612
4.0,TP4,1200,SM,111.14905714285715
4.5,TP4,1200,SM,110.10094276094276
5.0,TP4,1200,SM,110.19445954692556
